,team_name_h,opponent_team_name_h,match_date_h,competition_h,goals_h,possession_h,shots_h,shots_on_target_h,num_of_possessions_h,shots_on_post_h,shots_blocked_h,shots_wide_h,possessions_end_in_opp_half_h,perc_total_possessions_end_in_opp_half_h,shots_inside_box_h,shots_on_target_inside_box_h,shots_on_target_inside_box_perc_h,posssessions_end_in_opp_box_h,perc_total_possessions_end_in_opp_box_h,shots_outside_box_h,shots_on_target_outside_box_h,shots_on_target_outside_box_perc_h,average_possession_time_h,corners_h,free_kicks_h,offsides_h,total_open_play_possessions_h,fouls_committed_h,fouls_drawn_h,num_short_possessions_h,yellows_h,reds_h,num_medium_possessions_h,num_long_possessions_h,num_very_long_possessions_h,total_attacks_h,total_attacks_with_shots_h,total_attacks_to_shot_rate_h,num_positional_attacks_h,positional_attacks_with_shots_h,positional_attacks_to_shot_rate_h,counters_h,total_passes_attempted_h,total_accurate_passes_h,total_passing_accuracy_h,total_free_kicks_h,free_kicks_with_shots_h,free_kick_shot_perc_h,forward_passes_attempted_h,forward_accurate_passes_h,forward_passing_accuracy_h,total_corners_h,corners_with_shots_h,corner_shot_perc_h,back_passes_attempted_h,back_accurate_passes_h,back_passing_accuracy_h,lateral_passes_attempted_h,lateral_accurate_passes_h,lateral_passing_accuracy_h,progressive_passes_attempted_h,progressive_accurate_passes_h,progressive_passing_accuracy_h,slide_tackles_h,long_passes_attempted_h,long_accurate_passes_h,long_passing_accuracy_h,interceptions_h,fin_third_passes_attempted_h,fin_third_accurate_passes_h,fin_third_passing_accuracy_h,clearances_h,average_pass_to_final_third_length_h,ppda_h,passes_to_box_attempted_h,accurate_passes_to_box_h,passes_to_box_accuracy_h,shot_assists_h,total_recoveries_h,recoveries_own_third_h,recoveries_mid_third_h,recoveries_opp_third_h,recoveries_in_opp_half_h,total_crosses_h,accurate_crosses_h,crossing_accuracy_h,total_losses_h,losses_own_third_h,losses_mid_third_h,losses_opp_third_h,low_crosses_h,high_crosses_h,blocked_crosses_h,deep_completions_h,total_duels_h,total_duels_won_h,total_duel_win_rate_h,average_pass_length_h,offensive_duels_h,offensive_duels_won_h,offensive_duels_win_rate_h,defensive_duels_h,defensive_duels_won_h,defensive_duels_win_rate_h,loose_ball_duels_h,loose_balls_won_h,loose_ball_win_rate_h,aerial_duels_h,aerial_duels_won_h,aerial_duel_win_rate_h,dribbles_attempted_h,successful_dribbles_h,dribbling_success_rate_h,challenge_intensity_h,xG_h,possession_time_h,average_shot_dist_h,match_tempo_h,c_h,h_h,a_h,l_h
0,UCLA Bruins,Westmont Warriors,25-09-2024,NCAA D1 Non-conference matches Regular season,5,60,24,7,113,1,8,8,74,65,15,6,40,21,19,9,1,11,00:17,13,2,4,81,10,16,37,0,0,20,16,8,55,22,40,38,15,39,0,503,430,85,2,2,100,160,119,74,13,3,23,73,70,96,217,199,92,79,64,81,3,32,21,66,34,67,51,76,13,27.6,7.7,19,10,53,13,92,32,45,15,38,17,2,12,120,21,40,59,12,3,2,11,211,115,55,19.7,94,45,48,65,45,69,26,10,38,26,15,58,26,16,62.0,6.1,2.61,32:13,18.2,15.7,,,,
1,Butler Bulldogs,Indiana Hoosiers,05-09-2024,NCAA D1 Non-conference matches Regular season,1,45,15,7,116,0,5,3,57,49,9,3,33,16,14,6,4,67,00:12,6,3,3,92,18,11,44,2,0,26,21,1,47,13,28,35,7,20,0,369,296,80,3,2,67,153,115,75,6,3,50,52,49,94,136,114,84,87,62,71,2,58,35,60,69,59,42,71,19,33.9,8.1,15,3,20,9,104,59,38,7,29,12,1,8,116,25,42,49,3,9,0,9,284,129,45,22.2,102,26,25,88,59,67,33,14,42,61,30,49,39,15,38.0,6.6,1.02,24:27,18.1,15.4,,,,
2,Washington Huskies,Northwestern Wildcats,21-09-2024,NCAA D1 Big Ten Round 3,2,53,11,6,146,0,0,5,74,51,6,4,67,11,8,5,2,40,00:11,5,4,4,126,12,8,78,1,0,28,18,2,53,11,21,40,6,15,0,396,294,74,4,1,25,161,100,62,5,1,20,44,39,89,145,118,81,84,54,64,2,75,32,43,36,66,30,45,8,34.4,6.5,26,13,50,5,89,38,31,20,31,16,5,31,135,30,45,60,4,9,3,10,280,126,45,22.2,94,24,26,89,69,78,40,15,38,57,18,32,18,8,44.0,7.3,1.52,26:49,17.7,15.2,,,,
3,Rutgers Scarlet Knights,Seton Hall Pirates,10-09-2024,NCAA D1 Non-conference matches Regular season,1,59,7,3,107,0,0,4,61,57,4,1,25,9,8,3,2,67,00:19,5,6,0,80,6,10,39,0,1,19,12,10,42,6,14,30,5,17,0,535,444,83,6,1,17,176,113,64,5,1,20,68,66,97,234,219,94,75,53,71,3,59,26,44,46,66,35,53,8,30.4,11.0,16,5,31,5,89,40,40,9,31,12,5,42,122,15,42,65,2,7,3,1,225,91,40,20.2,89,30,34,51,26,51,23,7,30,62,28,45,36,16,44.0,5.1,0.91,34:30,15.9,15.7,,,,
4,Rutgers Scarlet Knights,Princeton Tigers,31-08-2024,NCAA D1 Non-conference matches Regular season,3,43,8,5,110,0,0,3,43,39,4,3,75,7,6,4,2,50,00:11,0,4,3,76,12,20,57,1,1,8,9,2,28,6,21,15,3,20,0,303,214,71,4,2,50,122,63,52,0,7,1,50,45,90,111,96,86,68,33,49,1,46,11,24,48,46,17,37,21,40.0,12.3,13,5,38,4,81,48,21,12,21,13,5,38,125,28,52,45,5,5,3,2,214,97,45,25.2,60,25,42,77,45,58,18,9,50,59,18,31,11,6,55.0,5.5,1.99,20:11,18.8,15.2,,,,
5,Michigan Wolverines,Penn State Nittany Lion,14-09-2024,NCAA D1 Big Ten Round 1,2,44,14,6,121,1,2,5,52,43,8,4,50,14,12,6,2,33,00:12,1,2,1,89,18,12,56,4,0,19,11,3,38,12,32,24,8,33,2,370,300,81,2,1,50,124,85,69,1,0,0,50,48,96,130,113,87,71,47,66,3,47,26,55,46,35,26,74,21,29.0,14.8,18,9,50,7,85,38,38,9,17,13,5,38,133,26,67,40,3,9,1,5,246,116,47,19.6,86,37,43,89,50,56,33,11,33,38,18,47,27,17,63.0,5.5,1.86,25:02,19.4,14.8,,,,
6,Michigan Wolverines,Oakland Golden Grizzlies,25-08-2024,NCAA D1 Non-conference matches Regular season,2,57,7,4,117,0,0,3,66,56,5,3,60,11,9,2,1,50,00:14,5,3,4,90,12,12,46,1,0,23,17,4,44,7,16,36,5,14,1,421,351,83,3,0,0,135,91,67,5,1,20,89,87,98,141,127,90,68,50,74,2,40,17,43,31,58,32,55,21,30.8,11.0,11,4,36,4,77,29,38,10,28,13,4,31,98,13,32,53,1,9,3,3,249,120,48,20.3,104,35,34,74,51,69,39,13,33,32,21,66,44,15,34.0,7.0,1.16,28:36,14.4,15.0,,,,
7,Washington Huskies,Oregon State Beavers,27-08-2024,NCAA D1 Non-conference matches Regular season,1,50,8,1,119,1,4,2,51,43,5,1,20,11,9,3,0,0,00:13,2,2,0,96,15,11,60,2,0,17,14,5,34,7,21,29,6,21,1,411,326,79,2,1,50,166,114,69,2,1,50,55,50,91,133,118,89,76,53,70,9,58,25,43,50,57,33,58,23,31.7,6.8,24,11,46,6,95,40,40,15,35,14,6,43,124,22,44,58,3,9,2,2,235,117,50,19.7,67,24,36,85,57,67,40,19,48,43,17,40,27,12,44.0,7.1,0.53,25:48,19.0,16.4,,,,
8,Indiana Hoosiers,Evansville Purple Aces,18-09-2024,NCAA D1 Non-conference matches Regular season,1,64,19,5,115,0,6,8,71,62,11,3,27,23,20,8,2,25,00:16,9,3,2,75,8,23,38,1,0,20,14,3,51,19,37,32,15,47,0,449,365,81,3,0,0,162,121,75,9,0,0,55,51,93,171,146,85,82,64,78,0,54,33,61,27,69,46,67,7,29.4,8.7,28,15,54,11,97,35,34,28,41,19,3,16,106,13,40,53,6,10,3,13,217,109,50,21.0,95,44,46,43,28,65,21,8,38,58,29,50,39,21,54.0,5.4,1.28,31:04,18.9,14.5,,,,
9,Indiana Hoosiers,Washington Huskies,04-10-2024,NCAA D1 Big Ten Round 6,2,55,21,5,121,0,4,12,69,57,8,3,38,21,17,13,2,15,00:14,5,4,2,91,6,15,43,1,0,23,22,3,51,20,39,34,16,47,5,404,319,79,4,2,50,166,116,70,5,1,20,56,53,95,133,110,83,89,68,76,1,72,40,56,29,70,42,60,19,31.1,12.4,16,6,38,7,107,36,50,21,41,13,5,38,143,17,52,74,3,9,1,5,273,134,49,21.8,123,56,46,62,40,65,37,14,38,51,24,47,41,24,59.0,5.4,1.28,29:30,21.9,13.9,,,,
