,team_name,opponent_team_name,match_date,competition,goals,possession,shots,shots_on_target,num_of_possessions,shots_on_post,shots_blocked,shots_wide,possessions_end_in_opp_half,perc_total_possessions_end_in_opp_half,shots_inside_box,shots_on_target_inside_box,shots_on_target_inside_box_perc,posssessions_end_in_opp_box,perc_total_possessions_end_in_opp_box,shots_outside_box,shots_on_target_outside_box,shots_on_target_outside_box_perc,average_possession_time,corners,free_kicks,offsides,total_open_play_possessions,fouls_committed,fouls_drawn,num_short_possessions,yellows,reds,num_medium_possessions,num_long_possessions,num_very_long_possessions,total_attacks,total_attacks_with_shots,total_attacks_to_shot_rate,num_positional_attacks,positional_attacks_with_shots,positional_attacks_to_shot_rate,counters,total_passes_attempted,total_accurate_passes,total_passing_accuracy,total_free_kicks,free_kicks_with_shots,free_kick_shot_perc,forward_passes_attempted,forward_accurate_passes,forward_passing_accuracy,total_corners,corners_with_shots,corner_shot_perc,back_passes_attempted,back_accurate_passes,back_passing_accuracy,lateral_passes_attempted,lateral_accurate_passes,lateral_passing_accuracy,progressive_passes_attempted,progressive_accurate_passes,progressive_passing_accuracy,slide_tackles,long_passes_attempted,long_accurate_passes,long_passing_accuracy,interceptions,fin_third_passes_attempted,fin_third_accurate_passes,fin_third_passing_accuracy,clearances,average_pass_to_final_third_length,ppda,passes_to_box_attempted,accurate_passes_to_box,passes_to_box_accuracy,shot_assists,total_recoveries,recoveries_own_third,recoveries_mid_third,recoveries_opp_third,recoveries_in_opp_half,total_crosses,accurate_crosses,crossing_accuracy,total_losses,losses_own_third,losses_mid_third,losses_opp_third,low_crosses,high_crosses,blocked_crosses,deep_completions,total_duels,total_duels_won,total_duel_win_rate,average_pass_length,offensive_duels,offensive_duels_won,offensive_duels_win_rate,defensive_duels,defensive_duels_won,defensive_duels_win_rate,loose_ball_duels,loose_balls_won,loose_ball_win_rate,aerial_duels,aerial_duels_won,aerial_duel_win_rate,dribbles_attempted,successful_dribbles,dribbling_success_rate,challenge_intensity,xG,possession_time,average_shot_dist,match_tempo,c,h,a,l
0,UCLA Bruins,Westmont Warriors,25-09-2024,NCAA D1 Non-conference matches Regular season,5,60,24,7,113,1,8,8,74,65,15,6,40,21,19,9,1,11,00:17,13,2,4,81,10,16,37,0,0,20,16,8,55,22,40,38,15,39,0,503,430,85,2,2,100,160,119,74,13,3,23,73,70,96,217,199,92,79,64,81,3,32,21,66,34,67,51,76,13,27.6,7.7,19,10,53,13,92,32,45,15,38,17,2,12,120,21,40,59,12,3,2,11,211,115,55,19.7,94,45,48,65,45,69,26,10,38,26,15,58,26,16,62.0,6.1,2.61,32:13,18.2,15.7,,,,
1,Westmont Warriors,UCLA Bruins,25-09-2024,NCAA D1 Non-conference matches Regular season,1,40,8,5,104,0,2,1,46,44,2,1,50,6,6,6,4,67,00:12,1,1,0,77,17,9,43,3,0,18,14,2,24,8,33,16,6,38,1,361,283,78,1,0,0,140,97,69,1,0,0,55,53,96,103,82,80,75,37,49,4,44,20,45,47,30,18,60,16,26.8,11.4,12,5,42,5,74,37,28,9,22,6,2,33,127,29,60,38,1,4,1,3,211,89,42,17.4,65,20,31,94,49,52,26,13,50,26,7,27,/,30,0.7,5.3,0.42,21:04,22.8,17.2,,,,
0,Butler Bulldogs,Indiana Hoosiers,05-09-2024,NCAA D1 Non-conference matches Regular season,1,45,15,7,116,0,5,3,57,49,9,3,33,16,14,6,4,67,00:12,6,3,3,92,18,11,44,2,0,26,21,1,47,13,28,35,7,20,0,369,296,80,3,2,67,153,115,75,6,3,50,52,49,94,136,114,84,87,62,71,2,58,35,60,69,59,42,71,19,33.9,8.1,15,3,20,9,104,59,38,7,29,12,1,8,116,25,42,49,3,9,0,9,284,129,45,22.2,102,26,25,88,59,67,33,14,42,61,30,49,39,15,38.0,6.6,1.02,24:27,18.1,15.4,,,,
1,Indiana Hoosiers,Butler Bulldogs,05-09-2024,NCAA D1 Non-conference matches Regular season,1,55,10,4,120,0,4,2,58,48,5,2,40,10,8,5,2,40,00:14,7,2,3,86,12,15,40,3,0,22,21,3,37,9,24,18,3,17,1,417,319,76,2,0,0,149,93,62,7,2,29,61,57,93,151,124,82,74,53,72,1,72,33,46,28,76,31,41,15,34.7,9.0,11,3,27,5,93,36,42,15,34,9,4,44,140,15,48,77,2,5,2,7,284,138,49,22.4,88,29,33,103,76,74,32,9,28,61,24,39,18,/,0.13,6.8,1.49,29:57,19.4,14.4,,,,
0,Washington Huskies,Northwestern Wildcats,21-09-2024,NCAA D1 Big Ten Round 3,2,53,11,6,146,0,0,5,74,51,6,4,67,11,8,5,2,40,00:11,5,4,4,126,12,8,78,1,0,28,18,2,53,11,21,40,6,15,0,396,294,74,4,1,25,161,100,62,5,1,20,44,39,89,145,118,81,84,54,64,2,75,32,43,36,66,30,45,8,34.4,6.5,26,13,50,5,89,38,31,20,31,16,5,31,135,30,45,60,4,9,3,10,280,126,45,22.2,94,24,26,89,69,78,40,15,38,57,18,32,18,8,44.0,7.3,1.52,26:49,17.7,15.2,,,,
1,Northwestern Wildcats,Washington Huskies,21-09-2024,NCAA D1 Big Ten Round 3,0,47,12,3,137,1,3,5,67,49,7,2,29,11,8,5,1,20,00:10,1,1,0,108,9,10,69,3,0,27,12,0,43,11,26,34,8,24,0,349,269,77,1,0,0,156,106,68,1,1,100,37,33,89,122,107,88,92,64,70,5,51,25,49,42,59,35,59,22,35.1,9.8,18,10,56,7,77,38,25,14,18,15,6,40,131,31,42,58,7,5,3,6,280,136,49,22.6,89,20,22,94,70,74,40,17,43,57,29,51,2,20,22.3,7.0,1.52,23:55,16.6,15.2,,,,
0,Rutgers Scarlet Knights,Seton Hall Pirates,10-09-2024,NCAA D1 Non-conference matches Regular season,1,59,7,3,107,0,0,4,61,57,4,1,25,9,8,3,2,67,00:19,5,6,0,80,6,10,39,0,1,19,12,10,42,6,14,30,5,17,0,535,444,83,6,1,17,176,113,64,5,1,20,68,66,97,234,219,94,75,53,71,3,59,26,44,46,66,35,53,8,30.4,11.0,16,5,31,5,89,40,40,9,31,12,5,42,122,15,42,65,2,7,3,1,225,91,40,20.2,89,30,34,51,26,51,23,7,30,62,28,45,36,16,44.0,5.1,0.91,34:30,15.9,15.7,,,,
1,Seton Hall Pirates,Rutgers Scarlet Knights,10-09-2024,NCAA D1 Non-conference matches Regular season,3,41,13,7,94,0,2,4,57,61,8,4,50,18,19,5,3,60,00:15,4,1,0,73,13,5,35,3,0,17,17,4,42,13,31,32,9,28,1,382,302,79,1,0,0,154,116,75,4,1,25,61,56,92,133,111,83,103,81,79,2,55,38,69,22,69,56,81,15,28.4,17.4,24,15,63,9,87,39,38,10,25,24,8,33,134,27,48,59,6,13,5,8,225,120,53,22.4,51,25,49,89,59,66,23,12,52,62,24,39,2,20,88.2,4.0,1.32,24:15,20.9,15.9,,,,
0,Rutgers Scarlet Knights,Princeton Tigers,31-08-2024,NCAA D1 Non-conference matches Regular season,3,43,8,5,110,0,0,3,43,39,4,3,75,7,6,4,2,50,00:11,0,4,3,76,12,20,57,1,1,8,9,2,28,6,21,15,3,20,0,303,214,71,4,2,50,122,63,52,0,7,1,50,45,90,111,96,86,68,33,49,1,46,11,24,48,46,17,37,21,40.0,12.3,13,5,38,4,81,48,21,12,21,13,5,38,125,28,52,45,5,5,3,2,214,97,45,25.2,60,25,42,77,45,58,18,9,50,59,18,31,11,6,55.0,5.5,1.99,20:11,18.8,15.2,,,,
1,Princeton Tigers,Rutgers Scarlet Knights,31-08-2024,NCAA D1 Non-conference matches Regular season,1,57,16,7,118,0,4,5,74,63,10,6,60,17,14,6,1,17,00:13,7,4,1,91,21,12,47,4,0,18,25,1,58,16,28,41,9,22,0,429,328,76,4,2,50,166,109,66,7,1,14,46,42,91,164,142,87,91,63,69,0,50,30,60,31,90,56,62,9,30.5,5.6,28,11,39,11,95,35,43,17,37,21,3,14,123,19,39,65,4,12,5,6,214,106,50,22.0,77,32,42,60,35,58,18,7,39,59,32,54,10,/,0.17,5.5,1.62,26:44,18.9,16.5,,,,
